	sender_userid	recipient_userid	dt
0	639138	99443	2017-08-16T13:52:15.0000000
1	639917	420640	2017-08-16T13:52:12.0000000
2	509219	576003	2017-08-16T13:52:08.0000000
3	597728	399089	2017-08-16T13:52:05.0000000
4	637975	628332	2017-08-16T13:52:02.0000000
5	84056	629653	2017-08-16T13:51:57.0000000
6	616357	495872	2017-08-16T13:51:55.0000000
7	509219	576003	2017-08-16T13:51:53.0000000
8	72842	639527	2017-08-16T13:51:45.0000000
9	616357	495872	2017-08-16T13:51:43.0000000
10	639908	641776	2017-08-16T13:51:39.0000000
11	584895	639138	2017-08-16T13:51:38.0000000
12	584895	639138	2017-08-16T13:51:38.0000000
13	399089	597728	2017-08-16T13:51:37.0000000
14	99443	639138	2017-08-16T13:51:36.0000000
15	72842	639527	2017-08-16T13:51:30.0000000
16	584895	639138	2017-08-16T13:51:29.0000000
17	72842	639527	2017-08-16T13:51:20.0000000
18	87386	639138	2017-08-16T13:51:17.0000000
19	99443	639138	2017-08-16T13:51:17.0000000
20	597728	399089	2017-08-16T13:51:16.0000000
21	99443	639138	2017-08-16T13:51:09.0000000
22	639138	584895	2017-08-16T13:51:08.0000000
23	639173	637980	2017-08-16T13:51:07.0000000
24	510227	10359	2017-08-16T13:51:06.0000000
25	72842	639527	2017-08-16T13:51:06.0000000
26	637975	628332	2017-08-16T13:51:03.0000000
27	639908	641864	2017-08-16T13:50:59.0000000
28	72842	639527	2017-08-16T13:50:56.0000000
29	638453	321085	2017-08-16T13:50:48.0000000
30	639138	87386	2017-08-16T13:50:47.0000000
31	584895	639138	2017-08-16T13:50:47.0000000
32	482353	639527	2017-08-16T13:50:43.0000000
33	547196	562865	2017-08-16T13:50:40.0000000
34	72842	639527	2017-08-16T13:50:32.0000000
35	87386	639138	2017-08-16T13:50:28.0000000
36	72842	639527	2017-08-16T13:50:28.0000000
37	629653	84056	2017-08-16T13:50:21.0000000
38	72842	639527	2017-08-16T13:50:18.0000000
39	639173	640488	2017-08-16T13:50:17.0000000
40	639138	99443	2017-08-16T13:50:10.0000000
41	639138	99443	2017-08-16T13:50:07.0000000
42	586093	640436	2017-08-16T13:50:04.0000000
43	84056	629653	2017-08-16T13:49:58.0000000
44	321085	638453	2017-08-16T13:49:58.0000000
45	495872	616357	2017-08-16T13:49:56.0000000
46	590956	539224	2017-08-16T13:49:56.0000000
47	639173	640488	2017-08-16T13:49:55.0000000
48	84056	629653	2017-08-16T13:49:44.0000000
49	99443	639138	2017-08-16T13:49:44.0000000
50	452257	582205	2017-08-16T13:49:43.0000000
51	639138	553063	2017-08-16T13:49:42.0000000
52	521964	641864	2017-08-16T13:49:29.0000000
53	495872	616357	2017-08-16T13:49:26.0000000
54	576003	509219	2017-08-16T13:49:23.0000000
55	629653	84056	2017-08-16T13:49:23.0000000
56	517823	626932	2017-08-16T13:49:19.0000000
57	629653	84056	2017-08-16T13:49:19.0000000
58	639138	99443	2017-08-16T13:49:17.0000000
59	639138	99443	2017-08-16T13:49:12.0000000
60	521964	641785	2017-08-16T13:49:11.0000000
61	517823	626932	2017-08-16T13:49:04.0000000
62	495872	616357	2017-08-16T13:49:00.0000000
63	179784	548028	2017-08-16T13:48:53.0000000
64	640534	19276	2017-08-16T13:48:50.0000000
65	576003	509219	2017-08-16T13:48:49.0000000
66	99443	639138	2017-08-16T13:48:49.0000000
67	84056	629653	2017-08-16T13:48:46.0000000
68	637273	562865	2017-08-16T13:48:46.0000000
69	639138	99443	2017-08-16T13:48:45.0000000
70	553063	639138	2017-08-16T13:48:38.0000000
71	99443	639138	2017-08-16T13:48:36.0000000
72	521964	641776	2017-08-16T13:48:35.0000000
73	99443	639138	2017-08-16T13:48:29.0000000
74	639138	553063	2017-08-16T13:48:29.0000000
75	581934	640781	2017-08-16T13:48:20.0000000
76	640534	19276	2017-08-16T13:48:19.0000000
77	495872	616357	2017-08-16T13:48:19.0000000
78	546141	585324	2017-08-16T13:48:19.0000000
79	640534	19276	2017-08-16T13:48:04.0000000
80	546141	217800	2017-08-16T13:48:01.0000000
81	619573	538212	2017-08-16T13:47:58.0000000
82	640534	19276	2017-08-16T13:47:53.0000000
83	556436	641864	2017-08-16T13:47:53.0000000
84	640278	640983	2017-08-16T13:47:42.0000000
85	341772	639138	2017-08-16T13:47:42.0000000
86	625552	481278	2017-08-16T13:47:38.0000000
87	509219	576003	2017-08-16T13:47:36.0000000
88	341772	639138	2017-08-16T13:47:35.0000000
89	553063	639138	2017-08-16T13:47:29.0000000
90	629653	84056	2017-08-16T13:47:28.0000000
91	509219	576003	2017-08-16T13:47:27.0000000
92	556436	641776	2017-08-16T13:47:27.0000000
93	452257	635300	2017-08-16T13:47:27.0000000
94	627258	640983	2017-08-16T13:47:23.0000000
95	614139	641864	2017-08-16T13:47:21.0000000
96	399089	607723	2017-08-16T13:47:21.0000000
97	614139	641864	2017-08-16T13:47:21.0000000
98	627258	640983	2017-08-16T13:47:20.0000000
99	576003	509219	2017-08-16T13:47:19.0000000
100	538212	631446	2017-08-16T13:47:18.0000000
101	607723	542932	2017-08-16T13:47:16.0000000
102	538212	631446	2017-08-16T13:47:14.0000000
103	639806	619850	2017-08-16T13:47:11.0000000
104	627258	640983	2017-08-16T13:47:10.0000000
105	538212	619573	2017-08-16T13:47:06.0000000
106	639806	272714	2017-08-16T13:47:05.0000000
107	614139	641864	2017-08-16T13:47:04.0000000
108	84056	629653	2017-08-16T13:47:01.0000000
109	614565	405658	2017-08-16T13:46:53.0000000
110	614565	405658	2017-08-16T13:46:46.0000000
111	509219	576003	2017-08-16T13:46:45.0000000
112	640983	640278	2017-08-16T13:46:41.0000000
113	637826	581523	2017-08-16T13:46:38.0000000
114	641109	617423	2017-08-16T13:46:34.0000000
115	592671	640781	2017-08-16T13:46:21.0000000
116	454778	640781	2017-08-16T13:46:20.0000000
117	640983	209530	2017-08-16T13:46:17.0000000
118	641109	639763	2017-08-16T13:46:17.0000000
119	84056	629653	2017-08-16T13:46:14.0000000
120	3575	639527	2017-08-16T13:45:53.0000000
121	607723	399089	2017-08-16T13:45:52.0000000
122	641109	64768	2017-08-16T13:45:49.0000000
123	454778	640781	2017-08-16T13:45:47.0000000
124	640781	581934	2017-08-16T13:45:41.0000000
125	641109	64768	2017-08-16T13:45:36.0000000
126	640781	592671	2017-08-16T13:45:32.0000000
127	624272	639044	2017-08-16T13:45:26.0000000
128	629653	84056	2017-08-16T13:45:21.0000000
129	608972	641193	2017-08-16T13:45:21.0000000
130	576003	509219	2017-08-16T13:45:05.0000000
131	3575	639527	2017-08-16T13:45:01.0000000
132	629653	84056	2017-08-16T13:44:58.0000000
133	497200	641776	2017-08-16T13:44:57.0000000
134	576003	509219	2017-08-16T13:44:55.0000000
135	592671	640781	2017-08-16T13:44:53.0000000
136	3575	639527	2017-08-16T13:44:52.0000000
137	3575	639527	2017-08-16T13:44:49.0000000
138	639527	3575	2017-08-16T13:44:38.0000000
139	639527	3575	2017-08-16T13:44:26.0000000
140	497200	641864	2017-08-16T13:44:19.0000000
141	606450	367576	2017-08-16T13:44:17.0000000
142	540378	626257	2017-08-16T13:44:08.0000000
143	638453	321085	2017-08-16T13:44:00.0000000
144	293809	641443	2017-08-16T13:43:52.0000000
145	581934	640781	2017-08-16T13:43:48.0000000
146	509219	576003	2017-08-16T13:43:47.0000000
147	553063	639138	2017-08-16T13:43:47.0000000
148	2	641908	2017-08-16T13:43:39.0000000
149	639138	553063	2017-08-16T13:43:38.0000000
150	638453	321085	2017-08-16T13:43:35.0000000
151	639527	72842	2017-08-16T13:43:29.0000000
152	509219	576003	2017-08-16T13:43:29.0000000
153	630274	564358	2017-08-16T13:43:16.0000000
154	640781	581934	2017-08-16T13:43:09.0000000
155	509219	576003	2017-08-16T13:43:04.0000000
156	640035	557088	2017-08-16T13:43:02.0000000
157	640781	581934	2017-08-16T13:43:02.0000000
158	639527	72842	2017-08-16T13:43:00.0000000
159	3575	639527	2017-08-16T13:42:55.0000000
160	640781	592671	2017-08-16T13:42:52.0000000
161	639527	72842	2017-08-16T13:42:52.0000000
162	389734	139488	2017-08-16T13:42:51.0000000
163	3575	639527	2017-08-16T13:42:50.0000000
164	481278	625552	2017-08-16T13:42:46.0000000
165	529430	639527	2017-08-16T13:42:41.0000000
166	239904	595643	2017-08-16T13:42:41.0000000
167	529430	639527	2017-08-16T13:42:41.0000000
168	239904	595643	2017-08-16T13:42:41.0000000
169	619265	639299	2017-08-16T13:42:40.0000000
170	619265	639299	2017-08-16T13:42:40.0000000
171	641864	331026	2017-08-16T13:42:35.0000000
172	641864	331026	2017-08-16T13:42:35.0000000
173	441278	640488	2017-08-16T13:42:30.0000000
174	641864	553063	2017-08-16T13:42:30.0000000
175	641864	553063	2017-08-16T13:42:30.0000000
176	441278	640488	2017-08-16T13:42:30.0000000
177	641864	553063	2017-08-16T13:42:30.0000000
178	441278	640488	2017-08-16T13:42:30.0000000
179	641864	553063	2017-08-16T13:42:30.0000000
180	441278	640488	2017-08-16T13:42:30.0000000
181	640781	454778	2017-08-16T13:42:29.0000000
182	640781	454778	2017-08-16T13:42:29.0000000
183	640781	454778	2017-08-16T13:42:29.0000000
184	553063	639138	2017-08-16T13:42:28.0000000
185	553063	639138	2017-08-16T13:42:28.0000000
186	553063	639138	2017-08-16T13:42:28.0000000
187	639044	624272	2017-08-16T13:42:26.0000000
188	639044	624272	2017-08-16T13:42:26.0000000
189	639044	624272	2017-08-16T13:42:26.0000000
190	624504	603328	2017-08-16T13:42:20.0000000
191	441278	640488	2017-08-16T13:42:19.0000000
192	239904	637377	2017-08-16T13:42:18.0000000
193	72842	639527	2017-08-16T13:42:15.0000000
194	639138	553063	2017-08-16T13:42:14.0000000
195	639138	584895	2017-08-16T13:42:07.0000000
196	72842	639527	2017-08-16T13:42:06.0000000
197	562865	637273	2017-08-16T13:42:01.0000000
198	72842	639527	2017-08-16T13:42:00.0000000
199	625589	636327	2017-08-16T13:41:59.0000000
200	639138	87386	2017-08-16T13:41:49.0000000
201	639527	634252	2017-08-16T13:41:48.0000000
202	239904	641864	2017-08-16T13:41:42.0000000
203	239904	641864	2017-08-16T13:41:39.0000000
204	581934	640781	2017-08-16T13:41:37.0000000
205	636327	625589	2017-08-16T13:41:36.0000000
206	639527	634252	2017-08-16T13:41:36.0000000
207	592671	640781	2017-08-16T13:41:32.0000000
208	639138	99443	2017-08-16T13:41:31.0000000
209	584895	639138	2017-08-16T13:41:30.0000000
210	581934	640781	2017-08-16T13:41:29.0000000
211	371181	256229	2017-08-16T13:41:28.0000000
212	639527	640580	2017-08-16T13:41:25.0000000
213	639527	640580	2017-08-16T13:41:25.0000000
214	639527	640580	2017-08-16T13:41:25.0000000
215	640488	441278	2017-08-16T13:41:23.0000000
216	631133	633617	2017-08-16T13:41:20.0000000
217	72842	639527	2017-08-16T13:41:16.0000000
218	466308	568605	2017-08-16T13:41:08.0000000
219	639138	584895	2017-08-16T13:41:06.0000000
220	639527	640580	2017-08-16T13:41:04.0000000
221	641091	601952	2017-08-16T13:40:56.0000000
222	72842	639527	2017-08-16T13:40:52.0000000
223	84056	629653	2017-08-16T13:40:47.0000000
224	639527	3575	2017-08-16T13:40:46.0000000
225	614206	641343	2017-08-16T13:40:44.0000000
226	600057	641278	2017-08-16T13:40:39.0000000
227	601952	641091	2017-08-16T13:40:31.0000000
228	600057	640240	2017-08-16T13:40:30.0000000
229	639527	72842	2017-08-16T13:40:26.0000000
230	620656	615205	2017-08-16T13:40:20.0000000
231	2	641906	2017-08-16T13:40:19.0000000
232	637648	186589	2017-08-16T13:40:12.0000000
233	620656	615205	2017-08-16T13:40:03.0000000
234	614206	638501	2017-08-16T13:39:47.0000000
235	554297	639527	2017-08-16T13:39:45.0000000
236	636327	625589	2017-08-16T13:39:38.0000000
237	637273	562865	2017-08-16T13:39:37.0000000
238	566028	637231	2017-08-16T13:39:32.0000000
239	639527	529430	2017-08-16T13:39:29.0000000
240	639527	529430	2017-08-16T13:39:20.0000000
241	576003	509219	2017-08-16T13:39:16.0000000
242	639527	529430	2017-08-16T13:39:05.0000000
243	576003	509219	2017-08-16T13:39:03.0000000
244	576003	509219	2017-08-16T13:38:59.0000000
245	584895	639138	2017-08-16T13:38:56.0000000
246	636327	557502	2017-08-16T13:38:55.0000000
247	576003	509219	2017-08-16T13:38:49.0000000
248	84056	629653	2017-08-16T13:38:43.0000000
249	620223	592443	2017-08-16T13:38:41.0000000
250	72842	639527	2017-08-16T13:38:41.0000000
251	99443	639138	2017-08-16T13:38:39.0000000
252	87386	639138	2017-08-16T13:38:38.0000000
253	553063	441278	2017-08-16T13:38:37.0000000
254	509219	576003	2017-08-16T13:38:32.0000000
255	553063	639138	2017-08-16T13:38:29.0000000
256	637763	619850	2017-08-16T13:38:27.0000000
257	553063	641864	2017-08-16T13:38:21.0000000
258	2	641907	2017-08-16T13:38:20.0000000
259	548832	637160	2017-08-16T13:38:18.0000000
260	441278	553063	2017-08-16T13:38:12.0000000
261	576003	509219	2017-08-16T13:38:08.0000000
262	639527	554297	2017-08-16T13:38:08.0000000
263	639138	553063	2017-08-16T13:38:06.0000000
264	639527	554297	2017-08-16T13:38:03.0000000
265	631446	538212	2017-08-16T13:37:56.0000000
266	639138	99443	2017-08-16T13:37:52.0000000
267	641864	548832	2017-08-16T13:37:45.0000000
268	509219	576003	2017-08-16T13:37:43.0000000
269	553063	475676	2017-08-16T13:37:41.0000000
270	553063	475676	2017-08-16T13:37:39.0000000
271	553063	475676	2017-08-16T13:37:37.0000000
272	641864	493152	2017-08-16T13:37:35.0000000
273	553063	639138	2017-08-16T13:37:31.0000000
274	79162	611103	2017-08-16T13:37:30.0000000
275	641864	520071	2017-08-16T13:37:29.0000000
276	553063	639138	2017-08-16T13:37:23.0000000
277	99443	639138	2017-08-16T13:37:23.0000000
278	639138	584895	2017-08-16T13:37:22.0000000
279	540260	641864	2017-08-16T13:37:21.0000000
280	624272	639044	2017-08-16T13:37:20.0000000
281	540260	641864	2017-08-16T13:37:20.0000000
282	641864	548679	2017-08-16T13:37:19.0000000
283	611103	79162	2017-08-16T13:37:16.0000000
284	641864	470930	2017-08-16T13:37:13.0000000
285	641864	47744	2017-08-16T13:37:05.0000000
286	641443	293809	2017-08-16T13:37:03.0000000
287	639138	99443	2017-08-16T13:37:02.0000000
288	641864	493646	2017-08-16T13:37:00.0000000
289	641864	641193	2017-08-16T13:36:55.0000000
290	641864	473746	2017-08-16T13:36:50.0000000
291	641864	131774	2017-08-16T13:36:44.0000000
292	639138	553063	2017-08-16T13:36:37.0000000
293	639527	630546	2017-08-16T13:36:37.0000000
294	641864	632457	2017-08-16T13:36:35.0000000
295	611103	79162	2017-08-16T13:36:34.0000000
296	637273	562865	2017-08-16T13:36:33.0000000
297	557134	641864	2017-08-16T13:36:31.0000000
298	551351	485870	2017-08-16T13:36:29.0000000
299	553063	639138	2017-08-16T13:36:27.0000000
300	551351	485870	2017-08-16T13:36:27.0000000
301	641443	293809	2017-08-16T13:36:26.0000000
302	641864	557134	2017-08-16T13:36:20.0000000
303	616357	495872	2017-08-16T13:36:19.0000000
304	616357	495872	2017-08-16T13:36:08.0000000
305	540010	641864	2017-08-16T13:36:04.0000000
306	546013	637160	2017-08-16T13:36:03.0000000
307	546013	637160	2017-08-16T13:36:01.0000000
308	641864	540260	2017-08-16T13:35:57.0000000
309	639138	553063	2017-08-16T13:35:56.0000000
310	202501	624650	2017-08-16T13:35:53.0000000
311	640436	586093	2017-08-16T13:35:51.0000000
312	639527	482353	2017-08-16T13:35:48.0000000
313	553063	441278	2017-08-16T13:35:43.0000000
314	557134	641864	2017-08-16T13:35:42.0000000
315	406898	590327	2017-08-16T13:35:37.0000000
316	641864	551351	2017-08-16T13:35:36.0000000
317	2	626448	2017-08-16T13:35:36.0000000
318	557134	641864	2017-08-16T13:35:35.0000000
319	99443	639138	2017-08-16T13:35:30.0000000
320	553063	639138	2017-08-16T13:35:28.0000000
321	495872	616357	2017-08-16T13:35:28.0000000
322	641864	584533	2017-08-16T13:35:26.0000000
323	605864	607000	2017-08-16T13:35:20.0000000
324	641864	540010	2017-08-16T13:35:20.0000000
325	639138	553063	2017-08-16T13:35:20.0000000
326	576003	509219	2017-08-16T13:35:20.0000000
327	2	641905	2017-08-16T13:35:18.0000000
328	562865	637273	2017-08-16T13:35:15.0000000
329	641864	557134	2017-08-16T13:35:14.0000000
330	553063	639138	2017-08-16T13:35:09.0000000
331	639138	553063	2017-08-16T13:35:09.0000000
332	641864	100630	2017-08-16T13:35:07.0000000
333	640781	585945	2017-08-16T13:35:02.0000000
334	553063	639138	2017-08-16T13:35:01.0000000
335	562865	638653	2017-08-16T13:35:00.0000000
336	553063	639138	2017-08-16T13:34:57.0000000
337	399089	437329	2017-08-16T13:34:55.0000000
338	639138	553063	2017-08-16T13:34:52.0000000
339	584895	639138	2017-08-16T13:34:50.0000000
340	639138	553063	2017-08-16T13:34:49.0000000
341	553063	639138	2017-08-16T13:34:48.0000000
342	640781	565035	2017-08-16T13:34:45.0000000
343	641864	535154	2017-08-16T13:34:44.0000000
344	639138	553063	2017-08-16T13:34:43.0000000
345	606719	636315	2017-08-16T13:34:43.0000000
346	539668	641864	2017-08-16T13:34:43.0000000
347	639138	553063	2017-08-16T13:34:40.0000000
348	509219	576003	2017-08-16T13:34:40.0000000
349	539668	641864	2017-08-16T13:34:39.0000000
350	639138	553063	2017-08-16T13:34:38.0000000
351	624650	202501	2017-08-16T13:34:38.0000000
352	641864	239904	2017-08-16T13:34:37.0000000
353	640781	565035	2017-08-16T13:34:33.0000000
354	641807	641864	2017-08-16T13:34:32.0000000
355	562865	529389	2017-08-16T13:34:29.0000000
356	639138	584895	2017-08-16T13:34:28.0000000
357	640781	607935	2017-08-16T13:34:27.0000000
358	2	641904	2017-08-16T13:34:27.0000000
359	637273	562865	2017-08-16T13:34:25.0000000
360	641864	539668	2017-08-16T13:34:23.0000000
361	553063	639138	2017-08-16T13:34:22.0000000
362	640436	604236	2017-08-16T13:34:21.0000000
363	437329	399089	2017-08-16T13:34:17.0000000
364	562865	534204	2017-08-16T13:34:13.0000000
365	509219	576003	2017-08-16T13:34:12.0000000
366	641864	641807	2017-08-16T13:34:10.0000000
367	621594	556947	2017-08-16T13:34:09.0000000
368	639138	553063	2017-08-16T13:34:08.0000000
369	84056	629653	2017-08-16T13:34:07.0000000
370	639044	624272	2017-08-16T13:34:06.0000000
371	625552	481278	2017-08-16T13:34:05.0000000
372	621594	556947	2017-08-16T13:34:04.0000000
373	639138	553063	2017-08-16T13:34:03.0000000
374	562865	442999	2017-08-16T13:34:00.0000000
375	640436	641785	2017-08-16T13:33:56.0000000
376	629653	84056	2017-08-16T13:33:53.0000000
377	640781	592671	2017-08-16T13:33:49.0000000
378	562865	547196	2017-08-16T13:33:48.0000000
379	640436	641776	2017-08-16T13:33:43.0000000
380	605946	635565	2017-08-16T13:33:43.0000000
381	640781	581934	2017-08-16T13:33:35.0000000
382	348132	543798	2017-08-16T13:33:34.0000000
383	640781	581934	2017-08-16T13:33:33.0000000
384	562865	637273	2017-08-16T13:33:31.0000000
385	639044	624272	2017-08-16T13:33:30.0000000
386	562865	637273	2017-08-16T13:33:26.0000000
387	562865	637273	2017-08-16T13:33:24.0000000
388	640436	609091	2017-08-16T13:33:21.0000000
389	546013	637160	2017-08-16T13:33:18.0000000
390	640845	608414	2017-08-16T13:33:16.0000000
391	639044	624272	2017-08-16T13:33:13.0000000
392	84056	629653	2017-08-16T13:33:13.0000000
393	539668	641864	2017-08-16T13:33:12.0000000
394	239904	641864	2017-08-16T13:33:09.0000000
395	546013	637160	2017-08-16T13:33:03.0000000
396	608414	640020	2017-08-16T13:33:03.0000000
397	540010	641776	2017-08-16T13:32:55.0000000
398	637160	546013	2017-08-16T13:32:54.0000000
399	641278	600057	2017-08-16T13:32:53.0000000
400	29888	628491	2017-08-16T13:32:51.0000000
401	2	641900	2017-08-16T13:32:51.0000000
402	100630	638853	2017-08-16T13:32:50.0000000
403	239904	641864	2017-08-16T13:32:49.0000000
404	640436	640121	2017-08-16T13:32:49.0000000
405	100630	638853	2017-08-16T13:32:45.0000000
406	608414	640845	2017-08-16T13:32:41.0000000
407	616357	495872	2017-08-16T13:32:40.0000000
408	399089	597728	2017-08-16T13:32:38.0000000
409	637273	562865	2017-08-16T13:32:34.0000000
410	556947	567375	2017-08-16T13:32:28.0000000
411	640436	624902	2017-08-16T13:32:27.0000000
412	539668	641776	2017-08-16T13:32:20.0000000
413	540010	637160	2017-08-16T13:32:18.0000000
414	641343	619850	2017-08-16T13:32:18.0000000
415	597728	399089	2017-08-16T13:32:16.0000000
416	539668	641776	2017-08-16T13:32:14.0000000
417	562865	637273	2017-08-16T13:32:14.0000000
418	637160	546013	2017-08-16T13:32:11.0000000
419	2	641903	2017-08-16T13:32:09.0000000
420	553808	637596	2017-08-16T13:32:07.0000000
421	553063	639138	2017-08-16T13:31:59.0000000
422	576003	509219	2017-08-16T13:31:51.0000000
423	584895	639138	2017-08-16T13:31:51.0000000
424	540010	637160	2017-08-16T13:31:48.0000000
425	639138	553063	2017-08-16T13:31:48.0000000
426	576003	509219	2017-08-16T13:31:45.0000000
427	639138	553063	2017-08-16T13:31:44.0000000
428	2	641902	2017-08-16T13:31:41.0000000
429	576003	509219	2017-08-16T13:31:35.0000000
430	641095	2	2017-08-16T13:31:34.0000000
431	553063	639138	2017-08-16T13:31:32.0000000
432	576003	509219	2017-08-16T13:31:29.0000000
433	581934	640781	2017-08-16T13:31:25.0000000
434	637160	540010	2017-08-16T13:31:23.0000000
435	639138	553063	2017-08-16T13:31:21.0000000
436	576003	509219	2017-08-16T13:31:20.0000000
437	629653	84056	2017-08-16T13:31:13.0000000
438	239904	641776	2017-08-16T13:31:13.0000000
439	239904	641776	2017-08-16T13:31:12.0000000
440	639138	584895	2017-08-16T13:31:06.0000000
441	557134	641864	2017-08-16T13:31:05.0000000
442	540010	641864	2017-08-16T13:31:03.0000000
443	628491	29888	2017-08-16T13:30:58.0000000
444	639138	87386	2017-08-16T13:30:48.0000000
445	84056	629653	2017-08-16T13:30:44.0000000
446	637273	562865	2017-08-16T13:30:42.0000000
447	637160	548832	2017-08-16T13:30:35.0000000
448	509219	576003	2017-08-16T13:30:31.0000000
449	540010	637160	2017-08-16T13:30:28.0000000
450	636333	641211	2017-08-16T13:30:26.0000000
451	509219	576003	2017-08-16T13:30:26.0000000
